分類,不具合項目,件数,RFLPレイヤー,RFLPノードID,RFLPノード名,構造ブロックID,構造ブロック名,備考
電気分解,バルブ,24,component,comp-valve,バルブ,blk-outlet,出口圧制御・供給,画像ユニット列はコンポ相当で扱う
電気分解,配管類,20,component,"comp-process-piping;comp-site-piping",配管類/現地接続配管,"blk-water;blk-package",純水供給/コンテナ・現地接続,総称なので複数コンポへ割当
電気分解,"トランス、整流器",18,component,"comp-transformer;comp-rectifier",トランス/整流器,blk-control,電源・制御・安全,複合ラベル
電気分解,電解槽（単極）,18,component,comp-electrolysis-cell,電解セル,blk-stack,PEM電解スタック,単セル相当
電気分解,ポンプ,13,"unit+component","unit-pure-water-feed;unit-water-circulation;comp-feed-water-pump;comp-circulation-pump",純水供給ユニット/循環ユニット/純水ポンプ/循環ポンプ,blk-water,純水供給,総称なのでユニットとコンポ併記
電気分解,計器,13,component,"comp-flowmeter;comp-pressure-sensor;comp-temperature-sensor;comp-cell-voltage-monitor",流量計/圧力センサ/温度センサ/セル電圧モニタ,"blk-water;blk-control;blk-monitor",純水供給/電源・制御・安全/遠隔監視・診断,総称
電気分解,制御盤,12,component,comp-control-panel,制御盤,blk-control,電源・制御・安全,
電気分解,電解槽（複極）,12,"unit+component","unit-electrolysis-stack;comp-stack-frame",電解スタック/スタックフレーム,blk-stack,PEM電解スタック,複極スタック相当
電気分解,電解槽,11,unit,unit-electrolysis-stack,電解スタック,blk-stack,PEM電解スタック,総称
電気分解,その他,8,aggregate,,未分類,,未分類,ヒートマップには未反映
電気分解,流量計,8,component,"comp-flowmeter;comp-electromagnetic-flowmeter",流量計/電磁流量計,blk-water,純水供給,
電気分解,ブスバー,7,component,comp-busbar,ブスバー,blk-control,電源・制御・安全,
電気分解,脱気筒,7,component,comp-degassing-column,脱気筒,blk-water,純水供給,
電気分解,電極,5,component,comp-electrode,電極,blk-stack,PEM電解スタック,
電気分解,ストレーナー,4,component,comp-strainer,ストレーナー,blk-water,純水供給,
電気分解,"電気、計装部品",4,component,"comp-instrument-parts;comp-plc",電気・計装部品/PLC,blk-control,電源・制御・安全,
電気分解,配管,4,component,comp-site-piping,現地接続配管,blk-package,コンテナ・現地接続,
電気分解,配管サポート,3,component,comp-pipe-support,配管サポート,blk-package,コンテナ・現地接続,
電気分解,CS+RLタンク,2,component,comp-cs-rl-tank,CS+RLタンク,blk-water,純水供給,
電気分解,"PE、FRPタンク",2,component,comp-pe-frp-tank,PE・FRPタンク,blk-water,純水供給,
電気分解,SUS配管,2,component,comp-sus-piping,SUS配管,blk-package,コンテナ・現地接続,
電気分解,コンプレッサー,2,component,comp-compressor,コンプレッサー,blk-outlet,出口圧制御・供給,
電気分解,ユニットクーラー,2,component,comp-unit-cooler,ユニットクーラー,blk-water,純水供給,
電気分解,酸素気液分離器,2,component,comp-o2-gas-liquid-separator,酸素気液分離器,blk-separation,気液分離・乾燥,
電気分解,純水タンク,2,component,comp-pure-water-tank,純水タンク,blk-water,純水供給,
電気分解,純水ポンプ,2,component,comp-feed-water-pump,純水ポンプ,blk-water,純水供給,
電気分解,触媒筒,2,component,comp-catalyst-cartridge,触媒筒,blk-separation,気液分離・乾燥,
電気分解,水素気液分離器,2,component,comp-h2-gas-liquid-separator,水素気液分離器,blk-separation,気液分離・乾燥,
電気分解,整流器,2,component,comp-rectifier,整流器,blk-control,電源・制御・安全,
電気分解,イオン樹脂筒,1,component,comp-ion-exchange-column,イオン樹脂筒,blk-water,純水供給,
電気分解,その他計器,1,component,comp-aux-instrument,その他計器,blk-monitor,遠隔監視・診断,
電気分解,ブロワー,1,component,comp-blower,ブロワー,blk-separation,気液分離・乾燥,
電気分解,モータ,1,component,comp-motor,モータ,blk-water,純水供給,
電気分解,ラダー,1,component,comp-ladder,ラダー,blk-package,コンテナ・現地接続,
電気分解,循環ポンプ,1,component,comp-circulation-pump,循環ポンプ,blk-water,純水供給,
電気分解,水素貯蔵タンク,1,component,comp-h2-storage-tank,水素貯蔵タンク,blk-outlet,出口圧制御・供給,
電気分解,電解槽ケーシング（FRP）,1,component,comp-stack-casing-frp,電解槽ケーシング（FRP）,blk-stack,PEM電解スタック,
電気分解,電磁流量計,1,component,comp-electromagnetic-flowmeter,電磁流量計,blk-water,純水供給,
